Expert,Unieuro,Euronics,Expert Price,Unieuro Price,Euronics Price,Expert Category,Unieuro Category,Euronics Category,Expert Brand,Unieuro Brand,Euronics Brand,Expert Color,Unieuro Color,Euronics Color,Match Type
redmi note 14 pro+ 5g  8gb ram 256gb rom,,smartphone redmi note 12 pro+ 5g 8+256gb,448.9,,319.0,smartphone & cellulari,,smartphone e cellulari,xiaomi,,xiaomi,lavender purple,,midnight black,2-way match
redmi note 14 5g  8g ram 256g rom,,redmi note 14 5g 8+256g,254.9,,299.9,smartphone & cellulari,,smartphone e cellulari,xiaomi,,xiaomi,coral green,,midnight black,2-way match
redmi note 14 5g  8g ram 256g rom,,redmi note 14 5g 8+256g,255.9,,299.9,smartphone & cellulari,,smartphone e cellulari,xiaomi,,xiaomi,lavender purple,,midnight black,2-way match
oled 120hz;ip53;batteria 6600mah;processore snapdragon 6 gen 1;camera con ai motion capture da 108mp,,,370.9,,,smartphone & cellulari,,,honor,,,red,,,1-way only
oled 120hz;ip53;batteria 6600mah;processore snapdragon 6 gen 1;camera con ai motion capture da 108mp,,,371.9,,,smartphone & cellulari,,,honor,,,red,,,1-way only
- realme c75  (256gb 8gb),,,188.9,,,smartphone & cellulari,,,realme,,,lightning gold,,,1-way only
- realme c75  (256gb 8gb),,,188.9,,,smartphone & cellulari,,,realme,,,storm black,,,1-way only
galaxy s25 ultra 12+512gb,,,1615.9,,,smartphone & cellulari,,,samsung,,,titanium black,,,1-way only
galaxy s25 ultra 12+512gb,,,1614.9,,,smartphone & cellulari,,,samsung,,,titanium gray,,,1-way only
galaxy s25 ultra 12+512gb,,,1611.9,,,smartphone & cellulari,,,samsung,,,titanium whitesilver,,,1-way only
"reno13 fs 5g ai smartphone, tripla fotocamera 50+8+2mp, selfie 32mp, display 6.67” 120hz amoled fhd+, 5800mah, ram",,,379.9,,,smartphone & cellulari,,,oppo,,,unspecified,,,1-way only
"reno13 fs 5g ai smartphone, tripla fotocamera 50+8+2mp, selfie 32mp, display 6.67” 120hz amoled fhd+, 5800mah, ram",,,379.9,,,smartphone & cellulari,,,oppo,,,unspecified,,,1-way only
"reno13 f 5g ai smartphone, tripla fotocamera 50+8+2mp, selfie 32mp, display 6.67” 120hz amoled fhd+, 5800mah, ram 8",,,324.9,,,smartphone & cellulari,,,oppo,,,unspecified,,,1-way only
"reno13 f 5g ai smartphone, tripla fotocamera 50+8+2mp, selfie 32mp, display 6.67” 120hz amoled fhd+, 5800mah, ram 8",,,312.9,,,smartphone & cellulari,,,oppo,,,unspecified,,,1-way only
"reno13 fs 5g ai smartphone, tripla fotocamera 50+8+2mp, selfie 32mp, display 6.67” 120hz amoled fhd+, 5800mah, ram",,,379.9,,,smartphone & cellulari,,,oppo,,,unspecified,,,1-way only
"reno13 f 5g ai smartphone, tripla fotocamera 50+8+2mp, selfie 32mp, display 6.67” 120hz amoled fhd+, 5800mah, ram 8",,,299.9,,,smartphone & cellulari,,,oppo,,,unspecified,,,1-way only
- realme 14 pro+ 5g  (512gb 12gb),,,528.9,,,smartphone & cellulari,,,realme,,,pearl white,,,1-way only
- realme 14 pro+ 5g  (512gb 12gb),,,530.9,,,smartphone & cellulari,,,realme,,,suede grey,,,1-way only
galaxy a26 5g 8+256gb,,smartphone galaxy a26 5g 256gb,328.9,,349.0,smartphone & cellulari,,smartphone e cellulari,samsung,,samsung,mint,,mint,2-way match
galaxy a26 5g 8+256gb,,smartphone galaxy a26 5g 256gb,327.9,,349.0,smartphone & cellulari,,smartphone e cellulari,samsung,,samsung,black,,mint,2-way match
galaxy a26 5g 8+256gb,,smartphone galaxy a26 5g 256gb,327.9,,349.0,smartphone & cellulari,,smartphone e cellulari,samsung,,samsung,white,,mint,2-way match
galaxy s25 edge 12+512gb,,,1418.99,,,smartphone & cellulari,,,samsung,,,unspecified,,,1-way only
"a5 pro smartphone, foto ai 50mp, frontale 8mp, display 6.67” 90hz lcd hd+, 5800mah, ram 8(esp4gb/6gb/8gb)+rom 256gb",,,199.9,,,smartphone & cellulari,,,oppo,,,unspecified,,,1-way only
"a5 pro smartphone, foto ai 50mp, frontale 8mp, display 6.67” 90hz lcd hd+, 5800mah, ram 8(esp4gb/6gb/8gb)+rom 256gb",,,199.9,,,smartphone & cellulari,,,oppo,,,unspecified,,,1-way only
"a5 pro 5g smartphone, foto ai 50mp, frontale 8mp, display 6.67” 120hz lcd hd+, 5800mah, ram 8(esp4gb/6gb/8gb)+rom 2",,,249.9,,,smartphone & cellulari,,,oppo,,,unspecified,,,1-way only
"a5 pro 5g smartphone, foto ai 50mp, frontale 8mp, display 6.67” 120hz lcd hd+, 5800mah, ram 8(esp4gb/6gb/8gb)+rom 2",,,249.9,,,smartphone & cellulari,,,oppo,,,unspecified,,,1-way only
bundle 400 (8/512gb)  + choice clip,,,499.9,,,smartphone & cellulari,,,honor,,,desert gold,,,1-way only
bundle 400 (8/512gb)   + choice clip,,,499.9,,,smartphone & cellulari,,,honor,,,meteor silver,,,1-way only
bundle 400 (8/512gb)  + choice clip,,,499.9,,,smartphone & cellulari,,,honor,,,midnight black,,,1-way only
galaxy s24 8+256gb,,galaxy s24 256gb,729.9,,599.0,smartphone & cellulari,,smartphone e cellulari,samsung,,samsung,amber yellow,,marble gray,2-way match
galaxy s25 edge 12+512gb,,,1418.99,,,smartphone & cellulari,,,samsung,,,unspecified,,,1-way only
galaxy s25 edge 12+512gb,,,1418.99,,,smartphone & cellulari,,,samsung,,,unspecified,,,1-way only
fox,,,44.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
fox,,,44.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
telefono cellulare con doppio display e apertura a conchiglia flex plus 55,,,59.9,,,smartphone & cellulari,,,trevi,,,nero,,,1-way only
telefono cellulare con doppio display e apertura a conchiglia flex plus 55,,,59.9,,,smartphone & cellulari,,,trevi,,,silver,,,1-way only
president,,,57.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
president,,,59.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
king,,king,36.9,,40.9,smartphone & cellulari,,smartphone e cellulari,brondi,,brondi,unspecified,,unspecified,2-way match
kx-tu110exb,,,35.9,,,smartphone & cellulari,,,panasonic,,,unspecified,,,1-way only
kx-tu110exc,,,40.9,,,smartphone & cellulari,,,panasonic,,,unspecified,,,1-way only
forte 70,,,39.9,,,smartphone & cellulari,,,trevi,,,unspecified,,,1-way only
cellulare senior gl390,,,39.9,,,smartphone & cellulari,,,gigaset,,,unspecified,,,1-way only
amico home,,,30.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
fox,,,44.99,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
amico favoloso,,,78.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
amico unico,,,43.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
amico unico,,,43.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
y5pmidnightblack,,,99.0,,,smartphone & cellulari,,,huawei,,,midnight black,,,1-way only
mi note 9,,,179.0,,,smartphone & cellulari,,,xiaomi,,,red,,,1-way only
mi note 9 pro,,,249.0,,,smartphone & cellulari,,,xiaomi,,,red,,,1-way only
amico sincero,,,51.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
amico sincero,,,54.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
kx-tu400exg,,,56.9,,,smartphone & cellulari,,,panasonic,,,unspecified,,,1-way only
p smart 2021 android 10 con mobile service,,,199.0,,,smartphone & cellulari,,,huawei,,,unspecified,,,1-way only
p smart 2021 android 10 con mobile service,,,199.0,,,smartphone & cellulari,,,huawei,,,unspecified,,,1-way only
p smart 2021 android 10 con mobile service,,,199.0,,,smartphone & cellulari,,,huawei,,,unspecified,,,1-way only
amico smartphone +,amico smartphone pocket,,94.9,49.9,,smartphone & cellulari,smartphone e cellulari,,brondi,brondi,,unspecified,unspecified,,2-way match
contender,,,48.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
mi 9t 4+64gb,,,169.0,,,smartphone & cellulari,,,xiaomi,,,red,,,1-way only
moto g100,,,289.0,,,smartphone & cellulari,,,motorola,,,unspecified,,,1-way only
motoe7ipowertimtahiti,,,99.0,,,smartphone & cellulari,,,motorola,,,blue,,,1-way only
amico home,,,31.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
salvalavita phone slv10,,,33.9,,,smartphone & cellulari,,,beghelli,,,unspecified,,,1-way only
contender,,,53.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
"amico supervoice cell. qb senior 2.8"" flip dualsim sos nero/silver",,,87.9,,,smartphone & cellulari,,,brondi,,,nerosilver,,,1-way only
magnum 4,,,51.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
magnum 4,,,51.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
magnum 4,,,53.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
magnum 4,,,51.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
magnum 4,,,59.99,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
iphone 13 128gb,iphone 13 128gb,iphone 13 128gb,581.9,549.0,629.0,smartphone & cellulari,smartphone e cellulari,smartphone e cellulari,apple,apple,apple,mezzanotte,mezzanotte,mezzanotte,3-way match
a54s,,,199.99,,,smartphone & cellulari,,,oppo,,,unspecified,,,1-way only
kx-tu155exbn,,,47.9,,,smartphone & cellulari,,,panasonic,,,unspecified,,,1-way only
kx-tu155exrn,,,69.9,,,smartphone & cellulari,,,panasonic,,,unspecified,,,1-way only
kx-tu155excn,,,54.9,,,smartphone & cellulari,,,panasonic,,,unspecified,,,1-way only
sts502,,,89.99,,,smartphone & cellulari,,,saiet,,,nero,,,1-way only
"amico chic cell.senior 2.4"" dualsim bt 1.3mp sos",,,59.9,,,smartphone & cellulari,,,brondi,,,nero,,,1-way only
amico smartphone xl,,,137.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
stone+,,,49.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
stone+,,,49.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
stone+,,,49.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
stone+,,,49.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
window+,,,45.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
find x5 lite,,,359.9,,,smartphone & cellulari,,,oppo,,,unspecified,,,1-way only
redmi note 11 pro+ 5g 8+256gb,,,299.9,,,smartphone & cellulari,,,xiaomi,,,star blue,,,1-way only
0flx6506,,,59.9,,,smartphone & cellulari,,,trevi,,,unspecified,,,1-way only
contender,,,53.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
amico favoloso,,,79.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
"3189  cell. qb 2.4"" dualsim 64mb 128mb bt rugged 4g grey",,,79.9,,,smartphone & cellulari,,,tcl,,,gray,,,1-way only
"3189 cell. qb 2.4"" dualsim 64mb 128mb bt rugged 4g",,,79.9,,,smartphone & cellulari,,,tcl,,,yel,,,1-way only
2660,,2660,79.9,,79.9,smartphone & cellulari,,smartphone e cellulari,nokia,,nokia,black,,black,2-way match
2660,,2660,79.9,,79.9,smartphone & cellulari,,smartphone e cellulari,nokia,,nokia,blue,,black,2-way match
5710 xa,,,89.9,,,smartphone & cellulari,,,nokia,,,black,,,1-way only
"12 lite  6.55""fhd+ 8gb 128gb 5g 108+8+2mp",,,409.0,,,smartphone & cellulari,,,xiaomi,,,black,,,1-way only
amico prezioso telefono senior con grandi tasti e tasto sos. dual sim,,,83.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
amico prezioso telefono senior con grandi tasti e tasto sos. dual sim,,,86.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
"cellulare facile da usare, resistente agli urti,4g,tasto di emergenza,ampio display",,,89.9,,,smartphone & cellulari,,,panasonic,,,unspecified,,,1-way only
iphone 14 128gb,iphone 14 128gb,iphone 14 128gb,735.9,649.0,669.0,smartphone & cellulari,smartphone e cellulari,smartphone e cellulari,apple,apple,apple,mezzanotte,mezzanotte,mezzanotte,3-way match
iphone 14 128gb,iphone 15 128gb,iphone 15 128gb,764.9,729.0,879.0,smartphone & cellulari,smartphone e cellulari,smartphone e cellulari,apple,apple,apple,blu,blu,nero,3-way match
cellulare senior gl590,,,69.99,,,smartphone & cellulari,,,gigaset,,,white,,,1-way only
"amico comfort cell. flip qb 2.8"" dualsim gsm bt sos",,,89.9,,,smartphone & cellulari,,,brondi,,,nero opaco,,,1-way only
.,,,59.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
salvalavita senior phone slv11,,,39.9,,,smartphone & cellulari,,,beghelli,,,unspecified,,,1-way only
telefono semplice da usare con grandi tasti numerici retroilluminati e un display ben visibile. con tasto sos,,,48.9,,,smartphone & cellulari,,,beghelli,,,unspecified,,,1-way only
cellulare gsm con tasto di chiamata rapida di soccorso.,,,47.9,,,smartphone & cellulari,,,beghelli,,,unspecified,,,1-way only
"40se 6.75""hd+ 4gb 128gb 50+2+2mp",,,205.9,,,smartphone & cellulari,,,tcl,,,twilight purple,,,1-way only
"4021 cell. db 1.8"" dualsim handy 2g dark",,,24.9,,,smartphone & cellulari,,,tcl,,,night grey,,,1-way only
redmi note 12 pro 5g  6gb ram 128gb rom,,,399.9,,,smartphone & cellulari,,,xiaomi,,,polar white,,,1-way only
ordce3lite5gpastel,,,199.9,,,smartphone & cellulari,,,oneplus,,,lime,,,1-way only
"amico smartphone pocket 4"" senior dual sim 4g cover inclusa",,,54.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
amico stiloso cellulare senior gsm  dual sim  con cover,,,58.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
"cellulare facilitato con connessione 4g,usb c,amplio display,resistente agli urti,tasto d’emergenza sos",,,102.9,,,smartphone & cellulari,,,panasonic,,,unspecified,,,1-way only
"cellulare facilitato con connessione 4g,usb c,amplio display,resistente agli urti,tasto d’emergenza sos",,,89.9,,,smartphone & cellulari,,,panasonic,,,unspecified,,,1-way only
"cellulare facilitato con connessione 4g,usb c,amplio display,resistente agli urti,tasto d’emergenza sos",,,99.9,,,smartphone & cellulari,,,panasonic,,,unspecified,,,1-way only
galaxy z fold5 12+1tb,,galaxy z fold5 512gb,2276.9,,999.0,smartphone & cellulari,,smartphone e cellulari,samsung,,samsung,phantom black,,phantom black,2-way match
"moto g14, display da 6,5'' fhd+, fotocamera da 50mp, 4/128gb, batteria 5000mah, , caricatore e cover inclusi",,,149.9,,,smartphone & cellulari,,,motorola,,,steel grey,,,1-way only
"cell. 2.8"" dualsim 4mb 16mb 2g dark",,,39.9,,,smartphone & cellulari,,,tcl,,,night grey,,,1-way only
"nuovo edge 40 neo 50+13mp, display 6.5"" poled fhd+ 144hz, processore mediatek dimensity 7030, 12/256gb, 5000mah",,,457.9,,,smartphone & cellulari,,,motorola,,,unspecified,,,1-way only
iphone 15 128gb,iphone 15 128gb,iphone 15 128gb,851.9,729.0,879.0,smartphone & cellulari,smartphone e cellulari,smartphone e cellulari,apple,apple,apple,nero,nero,nero,3-way match
iphone 15 128gb,iphone 15 128gb,iphone 15 128gb,851.9,729.0,879.0,smartphone & cellulari,smartphone e cellulari,smartphone e cellulari,apple,apple,apple,blu,blu,nero,3-way match
iphone 15 128gb,iphone 15 128gb,iphone 15 128gb,739.99,729.0,879.0,smartphone & cellulari,smartphone e cellulari,smartphone e cellulari,apple,apple,apple,verde,verde,nero,3-way match
iphone 15 pro max 256gb,,iphone 15 pro 256gb,1299.0,,1369.0,smartphone & cellulari,,smartphone e cellulari,apple,,apple,titanio blu,,titanio blu,2-way match
intrepid 4g è un telefono dual sim con apertura a flip,,,89.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
"moto g84 5g memoria da 12/256gb, comparto fotografico 50+8mp, display 6,55"" poled fhd+ con refresh rate da 120hz",,,229.9,,,smartphone & cellulari,,,motorola,,,unspecified,,,1-way only
cellulare con tasto salvalavita con speciali auricolari che permettono agli anziani di sentire meglio,,,83.9,,,smartphone & cellulari,,,beghelli,,,unspecified,,,1-way only
galaxy a25 5g 8+256gb,,galaxy a25 5g 128gb,260.9,,209.0,smartphone & cellulari,,smartphone e cellulari,samsung,,samsung,blue black,,blue black,2-way match
galaxy a25 5g 8+256gb,,galaxy a25 5g 128gb,260.9,,209.0,smartphone & cellulari,,smartphone e cellulari,samsung,,samsung,blue,,blue black,2-way match
galaxy a25 5g 8+256gb,,galaxy a25 5g 128gb,269.9,,209.0,smartphone & cellulari,,smartphone e cellulari,samsung,,samsung,yellow,,blue black,2-way match
galaxy a25 5g 6+128gb,,galaxy a25 5g 128gb,324.9,,209.0,smartphone & cellulari,,smartphone e cellulari,samsung,,samsung,blue black,,blue black,2-way match
galaxy a25 5g 6+128gb,,galaxy a25 5g 128gb,324.9,,209.0,smartphone & cellulari,,smartphone e cellulari,samsung,,samsung,blue,,blue black,2-way match
galaxy a25 5g 6+128gb,,galaxy a25 5g 128gb,360.9,,209.0,smartphone & cellulari,,smartphone e cellulari,samsung,,samsung,yellow,,blue black,2-way match
redmi note 13 pro+ 5g  12gb ram 512gb rom,redmi note 13 pro 5g  12gb ram,,499.9,349.9,,smartphone & cellulari,smartphone e cellulari,,xiaomi,xiaomi,,midnight black,midnight black,,2-way match
redmi note 13 5g  8gb ram 256gb rom,,,299.9,,,smartphone & cellulari,,,xiaomi,,,graphite black,,,1-way only
redmi note 13 mint  8gb ram 256gb rom,,,249.0,,,smartphone & cellulari,,,xiaomi,,,green,,,1-way only
redmi note 13  8gb ram 256gb rom,,,249.0,,,smartphone & cellulari,,,xiaomi,,,midnight black,,,1-way only
"magic6 lite smartp.6.78""oled 8gb 256gb 108+5+2mp 5g e.",,,269.0,,,smartphone & cellulari,,,honor,,,green,,,1-way only
galaxy s24 onyx  8+128gb,,galaxy s24 256gb-onyx,1092.9,,599.0,smartphone & cellulari,,smartphone e cellulari,samsung,,samsung,black,,black,2-way match
galaxy s24 8+128gb,,galaxy s24 256gb,879.0,,599.0,smartphone & cellulari,,smartphone e cellulari,samsung,,samsung,marble gray,,marble gray,2-way match
galaxy s24 ultra 12+512gb,,galaxy s24 ultra 512gb,1459.9,,1619.0,smartphone & cellulari,,smartphone e cellulari,samsung,,samsung,titanium gray,,titanium gray,2-way match
"moto g54 5g 50+2mp, display 6.5"" fhd+ 120hz, processore mediatek dimensity 7020, 12/256gb, 5000mah,",,,245.9,,,smartphone & cellulari,,,motorola,,,midnight blue,,,1-way only
"a18 4+128 , ai doppia fotocamera 8+2mp, selfie 5mp, display 6.56” 90hz lcd hd+, 5000mah, ip54","a18 4g smartphone, ai doppia fotocamera 8+2mp, selfie 5mp, display 6.56” 90hz lcd hd+, 5000mah, ram 8 gb (4+4) + rom 128gb, ip54, [versione italia],",,126.9,109.0,,smartphone & cellulari,smartphone e cellulari,,oppo,oppo,,glowing black,glowing black,,2-way match
"a18 4+128 glowing , ai doppia fotocamera 8+2mp, selfie 5mp, display 6.56” 90hz lcd hd+, 5000mah, ip54","a18 4g smartphone, ai doppia fotocamera 8+2mp, selfie 5mp, display 6.56” 90hz lcd hd+, 5000mah, ram 8 gb (4+4) + rom 128gb, ip54, [versione italia],glowing",,126.9,109.0,,smartphone & cellulari,smartphone e cellulari,,oppo,oppo,,blue,blue,,2-way match
smartphone amico smartphone s+b,,,112.9,,,smartphone & cellulari,,,brondi,,,unspecified,,,1-way only
note 50  (128gb 4gb),,,119.99,,,smartphone & cellulari,,,realme,,,midnight black,,,1-way only
redmi a3  4gb ram 128gb rom,,smartphone redmi a3 4+128gb,156.9,,91.9,smartphone & cellulari,,smartphone e cellulari,xiaomi,,xiaomi,midnight black,,midnight black,2-way match
redmi a3  4gb ram 128gb rom,,smartphone redmi a3 4+128gb,156.9,,91.9,smartphone & cellulari,,smartphone e cellulari,xiaomi,,xiaomi,star blue,,midnight black,2-way match
"il telefono gsm con chiamata rapida di soccorso, localizzazione e sensore di caduta.",,,69.9,,,smartphone & cellulari,,,beghelli,,,red,,,1-way only
505 128 gb,,,95.9,,,smartphone & cellulari,,,tcl,,,space grey,,,1-way only
505 128 gb,,,95.9,,,smartphone & cellulari,,,tcl,,,ocean blue,,,1-way only
onetouch 4043 grey,,cellulare onetouch 4043-grey,69.9,,65.9,smartphone & cellulari,,smartphone e cellulari,tcl,,tcl,gray,,gray,2-way match
- realme 12pro+ 5g submarine  (512gb 12gb),,,629.9,,,smartphone & cellulari,,,realme,,,blue,,,1-way only
- realme 12pro+ 5g navigator  (512gb 12gb),,,349.9,,,smartphone & cellulari,,,realme,,,beige,,,1-way only
- realme 12pro 5g submarine  global+nfc (256gb 12gb),,,449.99,,,smartphone & cellulari,,,realme,,,blue,,,1-way only
galaxy a55 5g 8+256gb,,galaxy a55 5g 256gb,572.9,,434.0,smartphone & cellulari,,smartphone e cellulari,samsung,,samsung,awesome navy,,awesome navy,2-way match
galaxy a55 5g 8+256gb,,galaxy a55 5g 256gb,572.9,,434.0,smartphone & cellulari,,smartphone e cellulari,samsung,,samsung,awesome iceblue,,awesome navy,2-way match
galaxy a55 5g 8+256gb,,galaxy a55 5g 256gb,399.9,,434.0,smartphone & cellulari,,smartphone e cellulari,samsung,,samsung,awesome lilac,,awesome navy,2-way match
galaxy a55 5g 8+128gb,,galaxy a55 5g 128gb,364.9,,365.0,smartphone & cellulari,,smartphone e cellulari,samsung,,samsung,awesome iceblue,,awesome iceblue,2-way match
galaxy a55 5g 8+128gb,,galaxy a55 5g 128gb,379.9,,365.0,smartphone & cellulari,,smartphone e cellulari,samsung,,samsung,awesome lilac,,awesome iceblue,2-way match
galaxy a35 5g 8+256gb,,galaxy a35 5g 256gb,399.0,,394.0,smartphone & cellulari,,smartphone e cellulari,samsung,,samsung,awesome navy,,awesome navy,2-way match
galaxy a35 5g 8+256gb,,galaxy a35 5g 256gb,338.9,,394.0,smartphone & cellulari,,smartphone e cellulari,samsung,,samsung,awesome iceblue,,awesome navy,2-way match
galaxy a35 5g 6+128gb,,galaxy a35 5g 128gb,249.9,,289.0,smartphone & cellulari,,smartphone e cellulari,samsung,,samsung,awesome navy,,awesome navy,2-way match
galaxy a35 5g 6+128gb,,galaxy a35 5g 128gb,289.9,,289.0,smartphone & cellulari,,smartphone e cellulari,samsung,,samsung,awesome iceblue,,awesome navy,2-way match
